S-550850;49.4248899982033;13.8817597475584;Blatná;Česká republika;F-2199;49.0591659;19.9795396;Važec;Slovensko;0
S-551139;49.1217856679233;14.1691083600611;Chelčice;Česká republika;F-3179;48.8443817;13.1376652;Správní společenství Lalling;Německo;2006
S-553069;49.3851894888819;14.6847977728364;Sezimovo Ústí;Česká republika;F-2825;46.752;7.57258;Thierachern;Švýcarsko;1992
S-553131;49.259937634824;14.7186063870387;Soběslav;Česká republika;F-2838;49.1028212;21.097855;Mesto Sabinov;Slovensko;2006
S-552046;49.4144156113754;14.6577969196491;Tábor;Česká republika;F-2883;47.09534;5.49081;Dole;Francie;1997
S-552046;49.4144156113754;14.6577969196491;Tábor;Česká republika;F-2882;47.6779496;9.1732384;Kostnice;Německo;1984
S-552046;49.4144156113754;14.6577969196491;Tábor;Česká republika;F-2881;47.9860672;18.1640649;Nové Zámky;Slovensko;2011
S-552046;49.4144156113754;14.6577969196491;Tábor;Česká republika;F-2880;37.8771476;-122.1796888;Orinda;Spojené státy americké;1999
S-552046;49.4144156113754;14.6577969196491;Tábor;Česká republika;F-2879;46.1655408;14.3066077;Škofja Loka;Slovinsko;2006
S-552046;49.4144156113754;14.6577969196491;Tábor;Česká republika;F-2878;48.16542;14.03664;Wels;Rakousko;2005
S-553786;49.390764230991;13.0396917143206;Kdyně;Česká republika;F-2483;49.2982047;12.9150633;Eschlkam;Německo;1992
S-554111;49.5102884992316;12.802623855317;Poběžovice;Česká republika;F-2746;47.0218071;7.2722348;Radelfingen;Švýcarsko;1998
S-554111;49.5102884992316;12.802623855317;Poběžovice;Česká republika;F-2745;49.5114532;12.5473666;Schönsee;Německo;1992
S-554138;49.458267606895;12.8067972497351;Postřekov;Česká republika;F-3358;49.7993732;11.0121219;Altendorf;Německo;2009
S-553425;49.4404879028343;12.9297762421549;Domažlice;Česká republika;F-2310;48.37391;15.61369;Furth bei Göttweig;Rakousko;1993
S-553425;49.4404879028343;12.9297762421549;Domažlice;Česká republika;F-2309;49.3101132;12.8387951;Furth im Wald;Německo;1990
S-553425;49.4404879028343;12.9297762421549;Domažlice;Česká republika;F-2308;48.621631;6.160576;Ludres;Francie;1994
S-553441;49.5911421375551;12.7176153862612;Bělá nad Radbuzou;Česká republika;F-2163;49.5820959;12.5193822;Eslarn;Německo;1990
S-553441;49.5911421375551;12.7176153862612;Bělá nad Radbuzou;Česká republika;F-2162;47.04236;7.54137;Hindelbank;Švýcarsko;1995
S-553654;49.5936105979865;13.1013009962723;Holýšov;Česká republika;F-2367;49.4189241;11.8899655;Kümmersbruck;Německo;1992
S-553689;49.5597031895864;12.7714779565683;Hostouň;Česká republika;F-3172;49.6725494;12.3313989;Waldthurn;Německo;1238
S-555771;49.3955209326456;13.2950651488051;Klatovy;Česká republika;F-2491;52.512383;4.674997;Heemskerk;Nizozemsko;1997
S-555771;49.3955209326456;13.2950651488051;Klatovy;Česká republika;F-2490;49.2238643;12.6620845;Cham;Německo;1992
S-555771;49.3955209326456;13.2950651488051;Klatovy;Česká republika;F-2489;56.45;60.1833333;Polevskoj;Rusko;2010
S-555771;49.3955209326456;13.2950651488051;Klatovy;Česká republika;F-2488;46.836429;5.7091;Poligny;Francie;1992
S-556254;49.3206896867973;13.7010053767579;Horažďovice;Česká republika;F-2369;46.7862262;7.6079043;Heimberg;Švýcarsko;0
S-556394;49.3451465710477;13.2181455204197;Janovice nad Úhlavou;Česká republika;F-2434;49.1908773;12.9942284;Arrach;Německo;2009
S-556955;49.3899293518633;13.4710671963025;Plánice;Česká republika;F-2736;46.8992741;7.5453648;Rubigen;Švýcarsko;1992
S-556955;49.3899293518633;13.4710671963025;Plánice;Česká republika;F-2735;49.2628203;12.7631151;Weiding;Německo;2002
S-557013;49.2807429989949;13.6176156488085;Rabí;Česká republika;F-3378;48.9771815;13.1283598;Regen;Německo;2011
S-557544;49.2672293915211;13.6278503653074;Žichovice;Česká republika;F-3524;48.05009;14.41827;Stayer;Rakousko;2009
S-557153;49.2310634247116;13.5201917307812;Sušice;Česká republika;F-2863;46.7733151;7.5741788;Gemeinde Uetendorf;Švýcarsko;1994
S-557153;49.2310634247116;13.5201917307812;Sušice;Česká republika;F-2862;49.0758074;12.1988658;Gemeinde Wenzenbach;Německo;2004
S-557153;49.2310634247116;13.5201917307812;Sušice;Česká republika;F-2861;49.176803;12.8517439;Stadt Bad Kötzting;Německo;1995
S-554791;49.7474771238849;13.3775912290833;Plzeň;Česká republika;F-2743;33.5206608;-86.80249;Birmingham;Spojené státy americké;2005
S-554791;49.7474771238849;13.3775912290833;Plzeň;Česká republika;F-2742;50.6325574;5.5796662;Liege;Belgie;1965
S-554791;49.7474771238849;13.3775912290833;Plzeň;Česká republika;F-2741;45.833619;1.261105;Limoges;Francie;1987
S-554791;49.7474771238849;13.3775912290833;Plzeň;Česká republika;F-2740;49.0145423;12.1008559;Regensburg;Německo;1993
S-554791;49.7474771238849;13.3775912290833;Plzeň;Česká republika;F-2739;36.3219088;139.0032936;Takasaki;Japonsko;1990
S-554791;49.7474771238849;13.3775912290833;Plzeň;Česká republika;F-2738;47.49995;8.7375646;Winterthur;Švýcarsko;1994
S-554791;49.7474771238849;13.3775912290833;Plzeň;Česká republika;F-2318;49.2195481;18.7412735;Žilina;Slovensko;2010
S-557587;49.5821979889957;13.5400954327486;Blovice;Česká republika;F-2205;49.2206446;12.0854957;Teublitz;Německo;1993
S-557587;49.5821979889957;13.5400954327486;Blovice;Česká republika;F-2204;50.7396905;11.8749304;Triptis;Německo;1991
S-557676;49.6548249987816;13.293073263168;Dobřany;Česká republika;F-2303;45.906714;15.591668;Brežice;Slovinsko;2002
S-557676;49.6548249987816;13.293073263168;Dobřany;Česká republika;F-2302;48.9693145;12.1646501;Obertraubling;Německo;2001
S-558109;49.4861646551459;13.5822585407496;Nepomuk;Česká republika;F-2629;55.5254221;25.1037901;Anyksciai;Litva;1995
S-558109;49.4861646551459;13.5822585407496;Nepomuk;Česká republika;F-2627;49.869025;11.8888884;Kemnath;Německo;2008
S-558109;49.4861646551459;13.5822585407496;Nepomuk;Česká republika;F-2626;48.3542872;19.0668757;Krupina;Slovensko;1992
S-558109;49.4861646551459;13.5822585407496;Nepomuk;Česká republika;F-2337;43.4440663;16.6921719;Omiš;Chorvatsko;1994
S-558109;49.4861646551459;13.5822585407496;Nepomuk;Česká republika;F-2625;46.3678333;11.0776666;Sanzeno;Itálie;2002
S-558109;49.4861646551459;13.5822585407496;Nepomuk;Česká republika;F-2624;51.231059;6.037361;Swalmen (Roermond);Nizozemsko;1992
S-558109;49.4861646551459;13.5822585407496;Nepomuk;Česká republika;F-2623;49.6473215;18.867739;Wisla;Polsko;1993
S-559628;49.8416735839422;13.2294333654974;Všeruby;Česká republika;F-2483;49.2982047;12.9150633;Eschlkam;Německo;1990
S-559628;49.8416735839422;13.2294333654974;Všeruby;Česká republika;F-3511;50.8692548;9.3458996;Neukirchen;Německo;1990
S-559717;49.7426996231379;13.5945888285355;Rokycany;Česká republika;F-2793;50.6585555;12.2077126;Greiz;Německo;1981
